id,address,cluster,id,bedrooms,gla,room_count,full_baths,half_baths,lot_size_sf,year_built,close_price,latitude,longitude,cluster
77064,792 Safari Dr ,3,77064,3,1335.0,7,2.0,0.0,6600.0,40.0,637000.0,44.2516,-76.612,3
76989,667 Truedell Rd ,4,76989,3,1300.0,10,2.0,0.0,6500.0,40.0,505000.0,44.2451,-76.5793,4
130030,995 Waterbury Crescent ,4,130030,4,1750.0,12,0.0,0.0,3480.0,0.0,550000.0,44.2309,-76.59,4
142089,Unit 305 - 675 Davis Drive W ,4,142089,2,1100.0,9,0.0,0.0,0.0,0.0,394500.0,44.2548,-76.5668,4
120422,Unit 101 - 1010 Pembridge Crescent ,4,120422,0,250.0,3,0.0,0.0,0.0,0.0,187000.0,44.2507,-76.5851,4
141864,Unit 309 - 675 Davis Drive ,4,141864,2,1100.0,8,0.0,0.0,0.0,0.0,360000.0,44.2548,-76.5668,4
78287,530 Canterbury Cres ,4,78287,4,2814.0,16,4.0,0.0,9200.0,0.0,686500.0,44.2354,-76.5833,4
163644,530 Canterbury Crescent ,4,163644,4,2724.0,16,0.0,0.0,9200.0,0.0,686500.0,44.2354,-76.5833,4
78260,490 Kirkwood Rd ,4,78260,2,900.0,7,2.0,0.0,7590.0,0.0,529000.0,44.2353,-76.5729,4
78633,829 Larchwood Cres ,4,78633,3,1750.0,5,2.0,0.0,4888.0,40.0,585000.0,44.2656,-76.5826,4
109648,490 Kirkwood Road ,4,109648,3,900.0,7,0.0,0.0,7590.0,0.0,529000.0,44.2353,-76.5729,4
116750,829 Larchwood Crescent ,4,116750,4,1750.0,5,0.0,0.0,4888.0,0.0,585000.0,44.2656,-76.5826,4
78616,1097 Craig Lane ,4,78616,3,1300.0,10,0.0,0.0,0.0,0.0,455000.0,44.2501,-76.5923,4
111504,633 Davis Drive ,4,111504,3,1300.0,8,0.0,0.0,3132.0,0.0,479900.0,44.2534,-76.5673,4
78850,1512 Crimson Cres ,4,78850,3,1750.0,14,4.0,0.0,3286.0,10.0,662000.0,44.2645,-76.5958,4
163569,1512 Crimson Crescent ,4,163569,3,1750.0,14,0.0,0.0,3286.0,0.0,662000.0,44.2645,-76.5958,4
111352,842 Milford Drive ,4,111352,4,1273.0,8,0.0,0.0,4978.0,0.0,475000.0,44.2519,-76.5833,4
123554,880 Winchester Lane ,4,123554,3,1300.0,9,0.0,0.0,0.0,0.0,425000.0,44.258,-76.5784,4
91145,269 HOLDEN Street ,2,91145,4,2250.0,8,0.0,0.0,4240.0,0.0,720000.0,44.2642,-76.5902,2
91201,781 Downing Street ,2,91201,4,1750.0,12,0.0,0.0,6786.0,0.0,574500.0,44.2497,-76.5971,2
99226,1097 Pinewood Place ,4,99226,3,1300.0,7,0.0,0.0,0.0,0.0,470000.0,44.262,-76.582,4
99254,1105 Dunham Street ,2,99254,4,1300.0,13,0.0,0.0,0.0,0.0,640000.0,44.255,-76.6005,2
99218,355 Tanglewood Drive ,4,99218,4,1750.0,10,0.0,0.0,6120.0,0.0,710000.0,44.2323,-76.5879,4
99230,792 Clark Crescent ,3,99230,3,0.0,8,0.0,0.0,0.0,0.0,425750.0,44.2488,-76.6121,3
99234,871 Larchwood Crescent ,4,99234,3,0.0,7,0.0,0.0,0.0,0.0,489000.0,44.2656,-76.583,4
207829,Unit 307 - 835 Milford Drive ,4,207829,2,850.0,7,0.0,0.0,0.0,0.0,320000.0,44.2508,-76.5839,4
207205,1949 BATH Road ,4,207205,4,0.0,9,0.0,0.0,20000.0,0.0,495000.0,44.2373,-76.5877,4
207059,423 Carrie Crescent ,4,207059,4,0.0,12,0.0,0.0,7800.0,0.0,824000.0,44.233,-76.5821,4
207210,1034 Craig Lane ,4,207210,3,1100.0,3,0.0,0.0,0.0,0.0,400000.0,44.249,-76.5911,4
207974,782 Cedarwood Drive ,4,207974,4,900.0,12,0.0,0.0,3850.0,0.0,515000.0,44.262,-76.5795,4
208077,1070 Dillingham Street ,2,208077,3,0.0,13,0.0,0.0,4290.0,0.0,649900.0,44.2575,-76.608,2
207672,913 Lancaster Drive ,4,207672,5,1900.0,7,0.0,0.0,5900.0,0.0,760000.0,44.2562,-76.5913,4
208417,767 Downing Street ,2,208417,3,1300.0,6,0.0,0.0,9075.0,0.0,561767.0,44.2484,-76.5978,2
215002,Unit 107 - 845 Milford Drive ,4,215002,1,550.0,5,0.0,0.0,0.0,0.0,262500.0,44.2512,-76.5843,4
215008,481 Citation Crescent ,4,215008,4,1750.0,8,0.0,0.0,0.0,0.0,720000.0,44.2332,-76.5976,4
257465,771 Birkley Place ,4,257465,3,1300.0,6,0.0,0.0,9360.0,0.0,425000.0,44.2455,-76.5793,4
232471,1373 Fisher Crescent ,4,232471,5,1500.0,8,0.0,0.0,4305.0,0.0,775000.0,44.2343,-76.5961,4
257263,Unit 90 - 857 Datzell Lane S ,4,257263,3,1300.0,9,0.0,0.0,0.0,0.0,375300.0,44.2503,-76.592,4
260347,897 Lancaster Drive ,4,260347,4,1750.0,10,0.0,0.0,0.0,0.0,660000.0,44.256,-76.5906,4
260409,825 Purcell Crescent ,4,260409,4,1300.0,9,0.0,0.0,0.0,0.0,580000.0,44.252,-76.5797,4
261617,1239 Katharine Crescent ,4,261617,4,1750.0,8,0.0,0.0,0.0,0.0,760000.0,44.2591,-76.5996,4
263179,Unit 507 - 675 Davis Drive ,4,263179,2,1100.0,7,0.0,0.0,0.0,0.0,330000.0,44.2548,-76.5668,4
268070,Unit 206 - 835 Milford Drive ,4,268070,2,950.0,7,0.0,0.0,0.0,0.0,315000.0,44.2508,-76.5839,4
269459,888 Clearfield Crescent ,4,269459,3,1300.0,9,0.0,0.0,0.0,0.0,510000.0,44.2555,-76.5776,4
270117,969 Mona Drive ,4,270117,4,2750.0,13,0.0,0.0,0.0,0.0,710000.0,44.2539,-76.6067,4
270180,862 Kilburn Street ,2,270180,4,1300.0,13,0.0,0.0,0.0,0.0,630000.0,44.2433,-76.582,2
270882,1220 Humberside Drive ,4,270882,5,2250.0,12,0.0,0.0,0.0,0.0,888500.0,44.2551,-76.6069,4
275501,700 LAIDLAW Crescent ,4,275501,4,1300.0,8,0.0,0.0,0.0,0.0,630000.0,44.2474,-76.5894,4
271433,1246 Carmil Boulevard ,4,271433,3,900.0,6,0.0,0.0,0.0,0.0,590000.0,44.2499,-76.6093,4
272169,1511 CRIMSON Crescent ,4,272169,3,1300.0,10,0.0,0.0,0.0,0.0,630000.0,44.2646,-76.5963,4
272834,486 Evangeline Avenue ,4,272834,3,1300.0,8,0.0,0.0,0.0,0.0,507900.0,44.2331,-76.5939,4
273317,834 CEDARWOOD Drive ,4,273317,3,1300.0,6,0.0,0.0,0.0,0.0,325000.0,44.2627,-76.5825,4
274709,941 AMBLESIDE Crescent ,4,274709,6,1750.0,7,0.0,0.0,0.0,0.0,850000.0,44.2556,-76.5823,4
275504,700 LAIDLAW Crescent ,4,275504,4,1300.0,8,0.0,0.0,0.0,0.0,630000.0,44.2474,-76.5894,4
275860,693 Millwood Drive ,4,275860,2,1750.0,10,0.0,0.0,0.0,0.0,630000.0,44.2359,-76.5882,4
275456,852 Development Drive ,4,275456,4,2250.0,10,0.0,0.0,0.0,0.0,677500.0,44.2409,-76.5808,4
276819,1173 Bentley Terrace ,4,276819,4,2250.0,12,0.0,0.0,0.0,0.0,895000.0,44.2562,-76.6007,4
278223,950 Oakview Avenue ,4,278223,3,1100.0,12,0.0,0.0,0.0,0.0,355000.0,44.2486,-76.5889,4
278252,824 Slocan Place ,4,278252,3,0.0,8,0.0,0.0,0.0,0.0,560000.0,44.2508,-76.5818,4
278808,691 HIGH GATE PARK Drive ,4,278808,4,1300.0,6,0.0,0.0,0.0,0.0,620000.0,44.245,-76.6036,4
279765,994 Hudson Drive ,4,279765,3,1750.0,8,0.0,0.0,0.0,0.0,625000.0,44.2453,-76.5899,4
279799,725 Cedarwood Drive ,4,279799,3,1300.0,10,0.0,0.0,0.0,0.0,525000.0,44.2638,-76.5771,4
280524,1121 Lincoln Drive ,4,280524,4,1300.0,18,0.0,0.0,0.0,0.0,760000.0,44.2427,-76.5996,4
281531,Unit 406 - 649 Davis Drive ,4,281531,2,1100.0,9,0.0,0.0,0.0,0.0,368000.0,44.2541,-76.5675,4
287522,1125 Basswood Place ,4,287522,4,1300.0,8,0.0,0.0,0.0,0.0,565000.0,44.2641,-76.5813,4
288877,1149 Hudson Drive ,4,288877,4,1750.0,5,0.0,0.0,0.0,0.0,648000.0,44.2483,-76.6018,4
283090,479 Kirkwood Road ,4,283090,4,900.0,6,0.0,0.0,0.0,0.0,575000.0,44.2347,-76.5735,4
284017,901 Lombardy Street ,2,284017,3,1300.0,12,0.0,0.0,0.0,0.0,680000.0,44.239,-76.5856,2
283797,Unit 510 - 675 Davis Drive ,4,283797,3,1300.0,8,0.0,0.0,0.0,0.0,440000.0,44.2548,-76.5668,4
